type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	ALL-93_pdx	ALL-93_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				c3b5bc8f-8bf7-5f1d-a325-727d3babf167		4a6dc9ce-e9a1-52d0-b460-b279b54d730a
pdx	NCH-HEP1_pdx	NCH-HEP1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				c52e5023-aead-5ae9-b3e8-5cfb6ca2a684		b4e3aa5b-04c5-59e4-b7c8-cdd48bbd4e40
pdx	ALL-26_pdx	ALL-26_pdx	NOD/SCID (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				c858e772-0ac2-5a4e-91e2-a90ab938183f		265c74a0-6b45-55de-9170-ec101d4d5eff
pdx	ALL-54_pdx	ALL-54_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				c8af2a14-9c3c-565c-abf6-bbf64b2011d6		b5c26ed7-c4c0-5f4d-98bb-14e6e73f7bc1
pdx	COG-N-440x_pdx	COG-N-440x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				ca390f40-1cc7-5035-9458-644ca2dadbd4		77fbef10-a11d-5bb1-862e-47c298f94f5d
pdx	COG-N-589x_pdx	COG-N-589x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				ca5a9a6f-5ce7-5437-aa7a-2c70fcb4b3b0		9349c0f9-2a4c-577a-b154-76422869d564
pdx	ALL-30_pdx	ALL-30_pdx	NOD/SCID (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				ca8e9ddf-d7eb-5c8f-9d41-2fa5172e873b		258b30f6-5462-5e6b-8b77-2fab21c1a86e
pdx	OS-54-OHS-x_pdx	OS-54-OHS-x_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				cabddf9a-4357-50c4-bb91-0c20545d5167		8d0a0ddc-35a7-5f4c-b4b9-ec2f8d9a340a
pdx	ICb-8008MB_pdx	ICb-8008MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				ce228aa1-72b5-5c54-b91f-dcac781fe03c		dd062b1c-d0d3-5a14-93aa-6d45b63cd34f
pdx	ALL-90_pdx	ALL-90_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				ce4b0a47-99c2-58d9-9c0c-e5bedab8bb94		04c78242-8852-54b6-987e-a0b6a24f70f0
pdx	COG-N-424x_pdx	COG-N-424x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				cf218589-18a5-5a9b-8722-7f6f782bfa1d		972850ec-2795-52eb-a389-f1f78ef794ab
pdx	EW-5_pdx	EW-5_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				d1a9ee8f-274e-57c9-86f8-5455a5e5d490		41f846b7-952e-5d62-819b-46b135538677
pdx	OS-44-KPDX-x_pdx	OS-44-KPDX-x_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				d3d6b5eb-93d9-5371-affb-3e81d911b835		17245d5d-8cb8-519e-8d88-ef24370abf24
pdx	COG-N-480x_pdx	COG-N-480x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				d42c0068-d2d5-5bc5-b22f-e99fc1e51a04		fe515d71-c1ce-5d85-b967-8113a400d5e4
pdx	ALL-118_pdx	ALL-118_pdx	NSG (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				d48f6170-0b75-570c-b6c4-35a3c0985747		ecf3db8c-2634-5bc4-baba-cdf0694d5a73
pdx	ALL-83_pdx	ALL-83_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				d73f7e54-2ea5-566e-8f82-8e9d6394a436		e8a87ffb-e062-5148-98e2-40a631f2aa91
pdx	ICb-L1115ATRT_pdx	ICb-L1115ATRT_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				d930b14a-6b05-5438-bef5-1e7b05508024		162e9236-8042-5d84-bde2-0215f0d9514c
pdx	NB-1771_pdx	NB-1771_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				d9fae02c-6081-5a7b-81e1-7ec425e74fb4		3bd85e6e-e707-55d2-af42-c518ebca1b73
pdx	NCH-CA-3_pdx	NCH-CA-3_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				da3bf00c-f2ef-52ce-90c8-a91eea68fa0b		2e9752d5-a09e-5b3e-bfee-ca8fde873304
pdx	COG-N-415x_pdx	COG-N-415x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				daacfac9-bc71-5e54-b82d-319370088a5a		e8b6cf02-2c4d-52db-b04e-5c76d2a5078d
pdx	OS-55_pdx	OS-55_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				dac70e53-9c88-55be-a95a-538da71c15c0		d5292f87-865b-5dbb-86b3-303d7c1fb7af
pdx	COG-N-421x_pdx	COG-N-421x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				dd314e09-8093-58d9-ad1c-c2209bdabfba		954100f1-0a1c-5859-aac3-2dc753c09eb1
pdx	Rh-30_pdx	Rh-30_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				ddd39e64-4d56-5488-af35-58e4df22f502		d799c3c7-5a30-5a49-ba56-a65a76080278
pdx	IC-9320GCT_pdx	IC-9320GCT_pdx	RAG1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				de6e928d-130c-54d7-b3aa-174096fc3f48		82e80d27-de64-5c1b-9f07-6ec748ee193a
pdx	IC-1499EPB_pdx	IC-1499EPB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				de8f2ccd-01d5-525f-b96b-864cf2556ef7		bcbd15f1-d5fb-566c-b52f-cc4d7516dfc8
pdx	ALL-95_pdx	ALL-95_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				df2244dd-d5ab-5c9b-9e5b-1f90aa4534df		14495173-055c-5a8f-9118-42e548e25284
pdx	ETP-4_pdx	ETP-4_pdx	NSG (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				e0a35b98-cda3-5b0f-9679-8203ed06b01a		9aee0ef8-1325-5594-ad15-b939757e8212
pdx	OS-9_pdx	OS-9_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e0f85f51-bda0-525a-a692-4e7bd58a2755		34e0fdec-9de5-5713-91b2-aee96357ca7a
pdx	NCH-OS-1_pdx	NCH-OS-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e1555117-fafc-53e9-98fd-597b2fecaa47		09185c3e-99a2-5dc9-8c47-e10645aa0691
pdx	Rh-36_pdx	Rh-36_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e1d94b54-5c12-5d52-b28e-a60bb937e3d4		56cda5c5-edd2-5ffa-b6ae-db5505bab7c9
pdx	OS-44_pdx	OS-44_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e27e0e9f-9882-59b3-a5e1-3ad83fcff184		5ab5f3ef-e6fc-5dfa-a66c-16e980344b9f
pdx	COG-N-561x_pdx	COG-N-561x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e3bc6e68-9fe3-508a-9508-95baa06d2352		469c95c9-5e40-5f19-9abb-d0b7f6ea803c
pdx	NCH-WT-5_pdx	NCH-WT-5_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e61e29f4-6391-5465-9d0c-56371ba93c72		c62af173-cfc1-580b-a1a0-c04f55d4ddd6
pdx	ES-4_pdx	ES-4_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e698f47c-a3ac-51c8-ae65-282fbde47769		71546461-88aa-5e94-81a0-8c9c1d6e0f79
pdx	NCH-EWS-1_pdx	NCH-EWS-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e6fe418e-84f0-5e34-a62c-57e671939d5a		4fa3d647-4b25-560c-8ae7-14ec8af248ae
pdx	ALL-03_pdx	ALL-03_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				e75935eb-ba4f-5b20-aab6-8f3f6325ff92		70f3bbd2-5416-5e83-98cf-cf9a29a41c60
pdx	ALL-121_pdx	ALL-121_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				e87f8c1d-faa2-532c-86ec-a6d03cf62c6e		5b5d7b49-bf28-5a35-b1fa-6d5d03facdf9
pdx	ICb-5108ATRT_pdx	ICb-5108ATRT_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				e9052d43-2151-514b-87f9-ba20637d34ed		ba98f630-b09e-5c91-bee3-94531889e50e
pdx	KT-18_pdx	KT-18_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e9c40666-a4af-50d7-804e-ccf6c44915c8		3a083803-11d6-5381-af74-3276b17ea416
pdx	ALL-46_pdx	ALL-46_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				e9d50f36-2763-5c72-a250-65d567b3ee71		a8ab441b-a491-58d9-91ce-3550b235b5ac
pdx	NCH-MB-1_pdx	NCH-MB-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				e9ecd099-48a6-533c-af7f-f7ca1712c75a		5b466cea-24f9-5f30-acd6-06b307432ece
pdx	ALL-63_pdx	ALL-63_pdx	NOD/SCID and NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				e9fc37c9-6ff6-51b6-becb-68cd7135f477		3a6effde-c2e8-5621-8425-f71553dd70fd
pdx	IC-1425EPN_pdx	IC-1425EPN_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				ea233494-2f56-5760-ad40-bbb6f2d7bc75		ca288a47-56c3-5a69-ab2b-08a79c5f0fb4
pdx	NB-1643_pdx	NB-1643_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				ebd591b2-a165-5a9d-b08f-26a8e74766ba		07d5083a-ebe1-56b5-b0de-91ce22b53ccd
pdx	COG-N-426x-Felix-PDX_pdx	COG-N-426x-Felix-PDX_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				ec9d82dd-a16b-5eef-8cb2-1f9ec4b354ec		088b852d-003c-5d89-ad8e-aeed6ad0be7f
pdx	ALL-07_pdx	ALL-07_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				ee9bc655-8e34-5eb5-acc5-bcc2dab7b528		1e1ca0c3-e919-5066-a693-703ffe78cc47
pdx	ALL-47_pdx	ALL-47_pdx	NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				eff81182-67bf-5c66-b626-69f3f2648504		c4456bdd-dfaf-54cd-8473-3495ec079e80
pdx	ALL-28_pdx	ALL-28_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f0a1fe7e-0875-5846-b81e-0e2d50be5089		36c958f3-8544-5002-aa70-49b80ab6a289
pdx	NCH-CA-2_pdx	NCH-CA-2_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				f20b0df4-cae8-525b-a798-dfc3d02a7754		3a55c4a8-c592-5f95-8c82-95d88b790232
pdx	ICb-9508MB_pdx	ICb-9508MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				f21cc33e-96c6-564b-bb67-889c2638407d		bb3e7c23-8161-5246-aa2c-06ed27e1581d
pdx	ALL-123_pdx	ALL-123_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f242fe02-3959-5e01-8067-b8ba370920da		ec0b89fc-3ed3-5970-b88c-88a82aac4de6
pdx	PALLSD_pdx	PALLSD_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f2e8f676-369e-5831-97aa-03ac0c7c5933		81a004fa-d452-59e6-a2a1-f0f7fc57da2b
pdx	Rh-10_pdx	Rh-10_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				f3531738-de12-5954-94f3-f69907c931af		3f8bcf32-1b30-5ea1-a423-6d5f1efb94b5
pdx	NCH-RBD-1_pdx	NCH-RBD-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				f4dae974-a402-5e9b-b8f2-f5b9f0a2b38c		2ef9e02e-33bb-568d-9135-714dd37029d8
pdx	ALL-106_pdx	ALL-106_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f4e4b220-925a-578f-a99c-e2d30e8f2ac0		01f58397-9272-54db-9da6-b3ce3668a82a
pdx	ALL-04_pdx	ALL-04_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f6b01931-a958-5f6b-98ad-ad828fe86fc5		9a55ec26-4049-5ff2-974f-cafa853e07cc
pdx	ALL-82_pdx	ALL-82_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f810012f-5bce-53cd-a759-a477bb5d1a0a		4cc93da3-8639-58b2-9b1b-e73412ce0866
pdx	ALL-32_pdx	ALL-32_pdx	NOD/SCID and NSG (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f85eb69c-7a3e-5805-a9d5-008b318a807c		b27eec21-1948-51ae-bbb8-d3da737d1535
pdx	ALL-02_pdx	ALL-02_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				f93145a9-af61-5340-abe1-61e9d18f3dc0		938f883e-8c68-59d9-a9e9-350c22d3d85f
pdx	KT-9_pdx	KT-9_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				fa9ffbc5-d338-5610-9238-1e31a1998ae3		58903773-968c-5f31-912d-2d38084f5d8f
pdx	MLL-1_pdx	MLL-1_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				fab0fd0e-ed05-5ae1-a135-4524c0572c55		20f50503-af77-51b4-8959-01cd952096cc
pdx	OS-48_pdx	OS-48_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				fba80001-bebc-5dd3-b785-c1f5b85e45e3		718f83a6-4b3a-5ab8-b5c8-4ddd6e4997e8
pdx	ICb-3130MB_pdx	ICb-3130MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				fdc588ec-813f-58d9-bf28-ef1fe1f2f808		d37af82b-5348-56e9-8b6a-d1dd2f471322
pdx	ALL-55_pdx	ALL-55_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				fe1e02a6-c2d4-5d86-b521-14bd4c4f73f8		440a0e29-5a78-5469-be3c-d81f724fd3de
pdx	MLL-3_pdx	MLL-3_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				fe5981b2-ff45-55e6-8952-fe408b0f0734		24e6882a-bef5-5b02-b87c-3c9963f39798
pdx	OS-1_pdx	OS-1_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				fe98e770-5a1f-5cc4-8199-f9da9aa35df4		edf17dd7-e8b3-52e1-80cb-8e3892123129
pdx	OS-45-TSX-pr1_pdx	OS-45-TSX-pr1_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				fe9f905b-0e68-5bea-a58c-d1d2ba86426e		250328de-15de-56dd-afd8-0f90a574e69f
pdx	COG-N-618x_pdx	COG-N-618x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				ff02738d-bfc3-5a52-8115-85184fedba52		4e629314-b8fd-5d41-8197-d464a8dc29be
pdx	ALL-102_pdx	ALL-102_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				fff0f19d-5010-5ee1-a78c-9cf97dc5a0f6		8d9c1369-87de-5826-bd5e-e186a25e358d
